,name,date_post,tracks,likes,reposts,user,link
323,Đa,16 November 2020,15,None,None,Tuan,https://soundcloud.com/tu-n-ph-ng-750585581/sets/a
324,huynhbeo,26 January 2021,5,None,None,Lưu Như Huỳnh,https://soundcloud.com/l-u-nh-hu-nh-20138223/sets/huynhbeo
325,Vien,19 May 2021,16,None,None,Lương Viễn,https://soundcloud.com/vi-n-ch-nh/sets/vien
326,sôi động.,25 March 2020,15,None,None,Lưu Như Huỳnh,https://soundcloud.com/l-u-nh-hu-nh-20138223/sets/s-i-ng
327,<3,10 October 2021,7,None,None,xd,https://soundcloud.com/wibu-nha-thuy-khong/sets/3a1
328,Tủne,20 September 2021,15,None,None,TruongLee,https://soundcloud.com/la-quang-tr-ng/sets/t-ne
329,1021,3 October 2021,15,None,None,Nguyễn Huỳnh Ngọc Thảo,https://soundcloud.com/nguy-n-hu-nh-ng-c-th-o-112261133/sets/1021a1
330,New private playlis Rap,21 October 2021,9,None,None,Duy Lâm,https://soundcloud.com/duy-lam-598887293/sets/new-private-playlis-rap
331,Rap,29 May 2013,4,None,None,Trần_Toàn,https://soundcloud.com/tr-n-toanf/sets/rap
332,s,24 July 2013,15,5,None,Bon Bon 6,https://soundcloud.com/bon-bon-12/sets/s
333,Bun Binh Bên,31 July 2013,15,2,None,Bun Binh Bên,https://soundcloud.com/vipgk020/sets/bun-binh-b-n
334,Rhymastic,13 August 2013,8,None,None,T.Tee,https://soundcloud.com/tu-n-t-e/sets/rhymastic-1
335,LOL musics 4 winner,22 August 2013,12,None,None,Ri Taylor,https://soundcloud.com/sane-lilgucci/sets/lol-musics-4-winner
336,rap,22 June 2013,10,None,None,dk4kyle,https://soundcloud.com/dk4kyle/sets/rap
337,Musical,25 August 2013,15,None,None,Trần Quốc Tuấn 2,https://soundcloud.com/tr-n-qu-c-tu-n/sets/musical
338,CTTL,26 August 2013,4,None,None,treesseven,https://soundcloud.com/treesseven/sets/cttl
339,Favourite,27 August 2013,15,None,None,Lê Quang Khải,https://soundcloud.com/l-quang-kh-i/sets/favourite-1
340,LÊN!!!!!,27 August 2013,15,3,None,BUN BINH BÊN,https://soundcloud.com/bun-binh-b-n/sets/l-n
341,Rap,5 April 2013,15,None,None,Tùng Kon,https://soundcloud.com/t-ng-kon/sets/rap
342,rap việt,24 August 2013,15,None,None,TyNttN,https://soundcloud.com/ty-nttn/sets/rap-vi-t
343,2013,27 August 2013,15,1,None,Thông Điên,https://soundcloud.com/pham-thong/sets/2013-1
344,Listen,27 August 2013,15,1,None,Phạm Tường 1,https://soundcloud.com/ph-m-t-ng-2/sets/listen
345,CH,28 August 2013,1,None,None,PhuCuong9450,https://soundcloud.com/phucuong9450/sets/ch
346,Viet Songs,9 April 2013,15,8,3,Dat Nguyen,https://soundcloud.com/illestpete/sets/viet-songs
347,Lack,24 August 2013,3,None,None,Khánh Đỗ,https://soundcloud.com/kh-nh-1/sets/lack
348,Rap,27 August 2013,15,None,None,ElvenShane,https://soundcloud.com/elvenshane/sets/rap
349,LadyKillah,29 August 2013,8,None,None,Çò §a ðọä,https://soundcloud.com/duy-12/sets/ladykillah
350,Nghe mà ngấm,30 August 2013,1,None,None,Trung Nguyễn 114,https://soundcloud.com/trung-nguy-n-36/sets/nghe-m-ng-m
351,new,2 May 2013,13,None,None,Toàn Hồ,https://soundcloud.com/to-n-h/sets/new-1
352,Rap,11 August 2013,11,None,None,Đình Quân,https://soundcloud.com/nh-qu-n/sets/rap
353,my fav,22 August 2013,15,1,None,notzdean,https://soundcloud.com/notzdean/sets/my-fav
354,yâu :3,28 August 2013,3,None,None,Tragg Sufi,https://soundcloud.com/tragg-sufi/sets/y-u-3
355,hiphop-rap,4 September 2013,6,1,None,Nu Chu,https://soundcloud.com/nu-chu/sets/hiphop-rap-1
356,Live <3,25 March 2013,15,6,3,Nu Chu,https://soundcloud.com/nu-chu/sets/music-acourtist
357,favorite<3,30 June 2013,15,1,None,Nu Chu,https://soundcloud.com/nu-chu/sets/favorite-3
358,Tien Saker,9 July 2013,7,1,None,Tien dem0nz,https://soundcloud.com/tien-saker/sets/tien-saker
359,my rap,6 September 2013,8,None,None,BQuee,https://soundcloud.com/bquee/sets/my-rap
360,Rap abcd,6 September 2013,23,1,None,Đức Nguyễn Trung,https://soundcloud.com/c-nguy-n-trung/sets/rap-abcd
361,My,20 April 2013,14,1,None,shabalala,https://soundcloud.com/tshaba-lala/sets/my
362,Touliver,2 September 2013,15,None,None,Thu Dung Nguyen,https://soundcloud.com/thu-dung-nguyen/sets/touliver
363,Mah Life,5 September 2013,15,5,2,Kun HaCk,https://soundcloud.com/kun-hack/sets/mah-life
364,:),6 September 2013,6,None,None,bno_star,https://soundcloud.com/bno_star/sets/epc0tdk8vfer
365,phiêu :x,7 September 2013,15,None,None,hhung,https://soundcloud.com/h-ng-zw/sets/phi-u-x
366,rap,23 July 2013,13,None,None,Phát,https://soundcloud.com/axit-ba-t-o/sets/rap
367,Nhạc,27 August 2013,15,None,None,Kelbin Bui,https://soundcloud.com/kelbin-bui/sets/nh-c
368,hay,11 September 2013,11,None,None,Ngô Lê Quang Định,https://soundcloud.com/ng-l-quang-nh/sets/hay
369,r.,18 September 2013,9,1,None,Nguyễn Chí Tâm,https://soundcloud.com/nguy-n-ch-t-m-1/sets/r
370,Crapzzz,24 September 2013,10,None,None,Bomwf,https://soundcloud.com/bomwf/sets/crapzzz
371,:),9 April 2013,15,None,1,alternate.,https://soundcloud.com/notdqt/sets/chillz
372,haha flow của eddy hay nhỉ,20 September 2013,12,None,None,Lmjuana192,https://soundcloud.com/internet-g/sets/haha-flow-cu-a-eddy-hay-nhi
373,đi ngủ,24 September 2013,8,None,None,Lmjuana192,https://soundcloud.com/internet-g/sets/i-ngu
374,T...,26 September 2013,15,None,1,Ken Khùng,https://soundcloud.com/ken-kh-ng/sets/t
375,Phê,27 September 2013,3,None,None,kutoy,https://soundcloud.com/kutoy/sets/ph
376,feelin',29 March 2013,15,2,None,JFSwaggaa,https://soundcloud.com/nam-nguy-n/sets/feelin
377,fieu,28 September 2013,10,None,None,Lmjuana192,https://soundcloud.com/internet-g/sets/fieu
378,Nothing,29 September 2013,15,None,None,Heo Mâp,https://soundcloud.com/heo-m-pj/sets/nothing
379,Lạc,29 September 2013,3,None,None,Trẻ Trâu Chơi Trội,https://soundcloud.com/tr-tr-u-ch-i-tr-i/sets/l-c
380,rap,30 September 2013,8,None,None,hoangpig,https://soundcloud.com/hoangpig/sets/rap
381,HaMy,28 May 2013,15,3,1,Phú Duy 1,https://soundcloud.com/ph-duy-1/sets/hamy
382,Music,2 October 2013,15,None,None,Huynh Nhat Minh,https://soundcloud.com/deedeesanprox/sets/music
383,acoustic,2 October 2013,8,None,None,Nhat Linh Phung 1,https://soundcloud.com/nhat-linh-phung-1/sets/acoustic
384,Rap <3,2 October 2013,2,None,None,Meo Mup 7,https://soundcloud.com/meo-mup-1/sets/rap-3
385,VietRap,3 October 2013,3,None,None,Nghia Kades,https://soundcloud.com/nghia-kades/sets/vietrap
386,oh,27 May 2013,15,None,None,Shuyichi,https://soundcloud.com/shuyichi/sets/oh
387,feel the beat,29 September 2013,15,None,None,Dặt Dẹo 1,https://soundcloud.com/d-t-d-o-2/sets/feel-the-beat
388,\m/,3 October 2013,10,1,None,LadProVS,https://soundcloud.com/ladprovs/sets/m
389,dizz battle,4 October 2013,3,None,None,pvtshif,https://soundcloud.com/pvtshif/sets/dizz-battle
390,My favorites,5 October 2013,15,None,None,Shiba Takeru,https://soundcloud.com/shiba-takeru-2/sets/my-favorites
391,tú$1,7 October 2013,15,1,None,phan.dark,https://soundcloud.com/t-tung-t-ng-4/sets/t-1
392,beat,7 October 2013,15,1,None,ignor them hater,https://soundcloud.com/ignor-them-hater/sets/beat-1
393,Rap Viet,7 October 2013,6,None,None,sony1289,https://soundcloud.com/sony1289/sets/rap-viet
394,tú$001,8 October 2013,15,1,None,Tu Nguyen 33,https://soundcloud.com/tu-nguyen-23/sets/t-001
395,a,8 October 2013,1,None,None,Trường Đặng 3,https://soundcloud.com/tr-ng-ng-7/sets/a
396,Phân,11 September 2013,15,1,None,Phân Bon 1,https://soundcloud.com/ph-n-bon/sets/ph-n
397,the flow,1 October 2013,13,None,None,Phương Anh Phí,https://soundcloud.com/ph-ng-anh-ph/sets/the-flow
398,Rap,9 October 2013,3,None,None,Hiệu Trần Hữu,https://soundcloud.com/hi-u-tr-n-h-u/sets/rap
399,X,10 October 2013,4,None,None,Linh Nùn,https://soundcloud.com/linh-n-n/sets/x
400,rap list,11 October 2013,11,None,None,Mit Tnvzin,https://soundcloud.com/mit-tnvzin/sets/rap-list
401,Rhymastic,11 October 2013,6,None,None,Minh Lợi,https://soundcloud.com/minh-l-i/sets/rhymastic
402,rap,12 October 2013,2,None,None,Tuan Bear,https://soundcloud.com/tuan-bear/sets/rap
403,lac,13 October 2013,1,None,None,Binzi Dinoladykillah,https://soundcloud.com/binzi-dinoladykillah/sets/lac
404,good,13 October 2013,13,None,None,Nguyễn Hùng 59,https://soundcloud.com/nguy-n-h-ng-64/sets/good
405,Lee Tung,14 October 2013,15,None,None,Lee Tung 1,https://soundcloud.com/lee-tung/sets/lee-tung
406,T.M.W,27 August 2013,15,2,1,Thanh Khoa Nguyen,https://soundcloud.com/thanh-khoa-nguyen/sets/t-m-w
407,egg,27 September 2013,10,None,None,trantrien867,https://soundcloud.com/trantrien867/sets/egg
408,1,15 October 2013,4,None,None,Đạt Hùng,https://soundcloud.com/t-h-ng/sets/1-1
409,Rap life,15 October 2013,3,1,None,Nguyễn Huy Hùng,https://soundcloud.com/nguy-n-huy-h-ng/sets/rap-life
410,Rap,16 October 2013,15,None,None,Ksor Huỳnh,https://soundcloud.com/ksor-hu-nh/sets/rap
411,...,9 February 2013,13,2,None,Khoile,https://soundcloud.com/khoi-le-09/sets/mr-a-1
412,JL,9 April 2013,15,None,None,Duy Min,https://soundcloud.com/duymin/sets/jl
413,mo,18 October 2013,4,1,None,Duy Vũ 1,https://soundcloud.com/duy-v-1/sets/mo
414,Lạc rhymastic,20 October 2013,1,1,None,Đạt Lê Thành,https://soundcloud.com/t-l-th-nh-2/sets/l-c-rhymastic
415,music,20 October 2013,7,None,None,Nguyễn Trần Vương Anh,https://soundcloud.com/nguy-n-tr-n-v-ng-anh/sets/music
416,KMĐ,21 October 2013,6,None,None,Hihahôhe Hú Hú,https://soundcloud.com/hihah-he-h-h/sets/km
417,Lạc - Rhymastic,21 October 2013,1,2,None,Gneis Nguyen,https://soundcloud.com/v-t-i-2/sets/l-c-rhymastic
418,uh thi,21 October 2013,2,1,None,Toru shan,https://soundcloud.com/ch-l-o-t/sets/uh-thi
419,lac,21 October 2013,1,None,None,Toru shan,https://soundcloud.com/ch-l-o-t/sets/lac
420,rap,21 October 2013,10,None,None,user811094613,https://soundcloud.com/user811094613/sets/fuck
421,hay,21 October 2013,1,None,None,Còi 3,https://soundcloud.com/c-i-11/sets/hay
422,Rap Viet,22 October 2013,4,None,None,Mr-Sun King,https://soundcloud.com/mr-sunking/sets/rap-viet
423,rap,22 October 2013,3,None,None,Nguyen Huu 4,https://soundcloud.com/nguyen-huu-1/sets/rap
424,rhymastic,23 October 2013,5,None,None,Hoàng Đức Dũng,https://soundcloud.com/ho-ng-c-d-ng/sets/rhymastic
425,Jets R,23 October 2013,4,None,None,Jeta's,https://soundcloud.com/jetamin/sets/jets-r
426,nhạc nhẹ 2,26 March 2020,15,1,None,Kiệt Võ,https://soundcloud.com/ki-t-v-640104066/sets/nh-c-nh-2
427,nhạc chill,7 February 2021,11,None,None,Hồ Hoàng Anh,https://soundcloud.com/h-hoang-anh-121773596/sets/nh-c-chill
428,Dc,28 August 2021,15,1,None,Hưng Phan,https://soundcloud.com/h-ng-phan-514110998/sets/dc
429,Lit lit,5 October 2018,15,1,None,Tien Truong,https://soundcloud.com/tien-truong-28/sets/lit-lit
430,underground,25 July 2017,15,None,None,Hoàng Nam,https://soundcloud.com/hoang-nam-220815230/sets/underground
431,bao,16 August 2021,3,None,None,za bao,https://soundcloud.com/tran-bao-508874171/sets/bao
432,a,26 September 2021,4,None,None,Nguyễn Thị Thanh,https://soundcloud.com/nguy-n-th-thanh-376675852/sets/a-1
433,nhạc,2 August 2020,15,None,None,tuitenloc,https://soundcloud.com/nguyen-loc-727682663/sets/nh-c
434,yehhh,2 July 2021,12,None,None,Văn Thoại,https://soundcloud.com/v-n-tho-i-49331135/sets/yehhh
435,Việt 1,4 February 2020,15,1,None,qhuy124,https://soundcloud.com/qhuy124/sets/vi-t-1-2
436,Việt La,16 March 2020,15,2,None,qhuy124,https://soundcloud.com/qhuy124/sets/vi-t-la
437,❤,27 August 2020,15,None,None,Như Quỳnh,https://soundcloud.com/nh-qu-nh-90357992/sets/zar1qeqrbgho
438,Vũ,11 April 2021,15,1,None,Nguyễn Vương Hoàng,https://soundcloud.com/nguy-n-v-ng-ho-ng-58628147/sets/v
439,buồn,8 July 2021,15,None,None,QMin92,https://soundcloud.com/quang-minh-965756431/sets/bu-n-1
440,Việt,8 October 2021,15,None,None,Việt Nguyễn,https://soundcloud.com/vi-t-vui-v-898335498/sets/vi-t
441,Na,12 May 2020,14,None,None,Hoàng Anh,https://soundcloud.com/anh-hoang-353451612/sets/na
442,420,16 June 2020,15,None,None,Lam,https://soundcloud.com/ng-ho-i-l-m/sets/420-1
443,ltson,26 June 2020,15,None,None,Trung Sơn,https://soundcloud.com/trung-s-n-763727727/sets/ltson
444,yudaliot,27 October 2020,15,1,None,Duy,https://soundcloud.com/user-799538785/sets/toiladuy
445,LQC,25 April 2021,15,None,None,02_lqc,https://soundcloud.com/l-ng-quang-ch-nh/sets/lqc
446,chill,28 April 2020,15,1,None,Laamm,https://soundcloud.com/gia-lam-702409975/sets/chill
447,nhạc,21 January 2021,15,1,None,newmin2302,https://soundcloud.com/xu-n-chi-n-241819654/sets/nh-c
448,rap,12 February 2019,15,1,None,Phạm Gia Bảo,https://soundcloud.com/ph-m-gia-b-o-317666729/sets/rap
449,:3,13 May 2021,5,None,None,Ngọc Diễm,https://soundcloud.com/ng-c-di-m-667068226/sets/3-1
450,Rappppp,15 April 2021,5,None,None,Minh Nghĩa,https://soundcloud.com/minh-ngh-a-v-ng/sets/rappppp
451,New private playlist,26 August 2021,15,None,None,thhien.106,https://soundcloud.com/user-929450978/sets/new-private-playlist
452,New private playlist,24 March 2021,15,None,None,Phạm Ngọc Bo,https://soundcloud.com/ph-m-ng-c-bo/sets/new-private-playlist
453,Ueihp,7 August 2020,15,None,None,Lê Phúc Hậu,https://soundcloud.com/l-ph-c-h-u-850351537/sets/ueihp
454,chill rap,7 May 2021,15,None,1,Quốc Phi,https://soundcloud.com/qu-c-phi-562325436/sets/chill-rap
455,Sao cờ lao,21 February 2021,15,None,None,huy lee,https://soundcloud.com/huy-le-728117732/sets/sao-c-lao
456,:),11 November 2020,15,1,None,Hữu Phước,https://soundcloud.com/tonyphuoc94/sets/0ex1oonmgg6o
457,Chill nhé ?,4 February 2021,15,2,None,Trần Đạt,https://soundcloud.com/user-246132172/sets/chill-nhe
458,long music,31 December 2020,15,None,None,Long Lê,https://soundcloud.com/long-le-407895852/sets/long-music
459,Best,14 March 2021,15,None,None,Toàn Lê,https://soundcloud.com/user-855281947/sets/best
460,chill,28 May 2021,15,None,None,Nguyễn Bảo,https://soundcloud.com/user-183603548/sets/chill
461,RAP,12 December 2020,15,2,None,The ProfessoR,https://soundcloud.com/cj7-1405-lofichill/sets/rap
462,.,14 January 2021,15,None,None,ManhCo,https://soundcloud.com/m-no-475814976/sets/pbwehgmaliqa
463,2021,31 May 2021,15,None,None,Ngọcc Thànhh,https://soundcloud.com/ng-cc-th-nhh/sets/2021-1
464,Phuc,29 May 2021,15,None,None,Nhật Phúc,https://soundcloud.com/nh-t-ph-c-88819617/sets/phuc
465,chill,21 December 2020,15,None,None,User 838269184,https://soundcloud.com/user-838269184/sets/chill-1
466,NCS,8 April 2021,15,None,None,Sang,https://soundcloud.com/sang-nguy-n-719870862/sets/ncs
467,Felling,19 August 2021,15,1,None,thongp560,https://soundcloud.com/thongp560/sets/felling
468,ZT16,1 August 2021,73,None,None,ZT,https://soundcloud.com/le-quan-676238810/sets/zt16
469,^^,26 May 2021,18,None,None,thkimmm,https://soundcloud.com/kim-v-361106714/sets/rjekedtgnora
470,Untitled Playlist,19 October 2021,23,None,None,Hùng,https://soundcloud.com/hung-746201740/sets/untitled-playlist
471,Run,30 September 2019,15,1,None,Tú Gạo,https://soundcloud.com/t-g-o-788466293/sets/run
472,nhạc hay,20 April 2020,15,None,None,tâmm,https://soundcloud.com/danh-tam-329037559/sets/nh-c-hay
473,28,5 February 2021,15,None,None,Thảo vân Vũ,https://soundcloud.com/th-o-v-n-v-497420090/sets/28-1
474,🖤🖤🖤🖤🖤🖤🖤🖤🖤,8 April 2021,15,1,None,Vu Quoc Anh,https://soundcloud.com/vu-quoc-anh-292662362/sets/omazax0ogqxk
475,Kim,12 April 2021,15,1,None,Kim,https://soundcloud.com/kim-duyen-342022734/sets/kim
476,.,3 August 2021,15,None,None,nmk,https://soundcloud.com/nguy-n-minh-kh-ng-117914444/sets/ia1dlycxublh
477,Nhạc tru tinh,20 October 2017,15,17,2,Phan Hoàng Mỹ,https://soundcloud.com/phan-ho-ng-m/sets/nh-c-tru-tinh
478,Rap Việt 😎,3 June 2021,15,None,None,Huỳnh_Hiền,https://soundcloud.com/th-hi-n-hu-nh-581139761/sets/rap-vi-t
479,High,7 September 2020,15,1,None,Quyếtt Tiến,https://soundcloud.com/quy-tt-ti-n/sets/high
480,chill,28 May 2021,15,None,None,Kim Hieu,https://soundcloud.com/kim-hieu-119352964/sets/chill
481,nhac,25 May 2018,15,None,None,Tiến Vũ,https://soundcloud.com/ti-n-v-582889154/sets/nhac
482,nhạc,28 November 2019,15,None,None,Phát Thành,https://soundcloud.com/phat-thanh-504765880/sets/nh-c
483,😌,3 November 2020,15,1,None,Phúc Nguyễn,https://soundcloud.com/pinc-nguy-n/sets/vom2b8kkfwfh
484,v-pop,18 October 2019,15,None,None,lê viết hùng,https://soundcloud.com/l-vi-t-h-ng-730199261/sets/v-pop
485,sad music...,18 December 2020,15,1,None,Nguyễn Khánh Toàn,https://soundcloud.com/nguy-n-kh-nh-to-n-474224235/sets/sad-music
486,VCA,7 April 2021,7,None,None,Tien Tran,https://soundcloud.com/tien-tran-589298551/sets/vca
487,ii,12 August 2021,18,None,None,Nguyễn Khánh,https://soundcloud.com/nguy-n-kh-nh-587022660/sets/ii
488,Chill Smoke,19 October 2021,15,None,None,Tuấn Tổng,https://soundcloud.com/tu-n-tr-n-l-anh/sets/chill-smoke
489,k,26 November 2020,15,1,None,Nguyễn Quốc Anh Khoa,https://soundcloud.com/nguy-n-qu-c-anh-khoa-713122848/sets/k
490,DMin,7 May 2021,5,None,None,Duy Minh,https://soundcloud.com/minh-nguy-n-968330738/sets/dmin
491,Duytan,1 September 2021,15,None,None,Nguyễn Duy Tân,https://soundcloud.com/nguy-n-duy-t-n-399721229/sets/duytan
492,Nhạc Việt,7 December 2020,15,None,None,Quỳnh Trần,https://soundcloud.com/qu-nh-sunshiny/sets/nh-c-vi-t
493,một chút buồn,17 October 2021,10,None,None,thuw mizh,https://soundcloud.com/thuw-mizh/sets/m-t-ch-t-bu-n
494,ahehr,18 September 2020,15,1,None,kiên,https://soundcloud.com/kien-phuc-508002217/sets/ahehr
495,chill,20 October 2021,5,None,None,Duy,https://soundcloud.com/nguy-n-m-qu-c-duy/sets/chill
496,Nhạc Hay,2 September 2021,15,2,None,CheeseNhan,https://soundcloud.com/user-949373178/sets/nh-c-hay
497,yến cầm,24 November 2016,15,None,None,Jessie,https://soundcloud.com/y-n-c-m-922333317/sets/y-n-c-m
498,Lonely,27 July 2019,15,None,None,Khanh Nguyen,https://soundcloud.com/khanh-nguyen-222606815/sets/lonely
499,V-POP,11 August 2019,15,None,None,Khanh Nguyen,https://soundcloud.com/khanh-nguyen-222606815/sets/v-pop
500,Việt,22 November 2019,4,None,None,Khánh Linh,https://soundcloud.com/khanh-linh-53206367/sets/vi-t
501,Studying,8 March 2020,15,None,None,Khanh Nguyen,https://soundcloud.com/khanh-nguyen-222606815/sets/studying
502,My best list,18 August 2019,15,None,None,Khanh Nguyen,https://soundcloud.com/khanh-nguyen-222606815/sets/my-best-list
503,hhh,7 January 2021,15,None,None,Đặng Trung Hiếu,https://soundcloud.com/ng-trung-hi-u-727171422/sets/hhh
504,Vpop,9 July 2019,15,None,None,Hiếu Đen,https://soundcloud.com/hi-u-en-1/sets/vpop
505,:)))),2 February 2021,15,None,None,dondon.1012,https://soundcloud.com/tr-n-oan-438126127/sets/cioevfnybfz7
506,chill,17 May 2021,15,None,None,Ty Huỳnh,https://soundcloud.com/ty-hu-nh-456625108/sets/chill
507,✨,14 August 2021,15,None,None,𝐚𝐬𝐥𝐥𝐞𝐲🧸,https://soundcloud.com/user-780439224/sets/0a9yz1cau7x3
508,Hehe,21 October 2021,15,None,None,Hoàng Thị Thu Hà,https://soundcloud.com/ho-ng-th-thu-h-888593470/sets/hehe
509,Ghét sữa dâu vcl,19 October 2021,15,None,None,RABBIt,https://soundcloud.com/changg-2905/sets/gh-t-s-a-d-u-vcl
510,nhẹ,21 October 2021,1,None,None,Ngoc Trang,https://soundcloud.com/user-907254594/sets/nh
511,nhạc,10 September 2021,15,None,None,Bill Nè,https://soundcloud.com/bill-ne/sets/nh-c
512,Rap,19 November 2020,2,None,None,Shirayruki,https://soundcloud.com/nguy-n-sen-260222687/sets/rap
513,thanh xuân,7 June 2021,15,None,None,Wan,https://soundcloud.com/hung-lam-946636894/sets/thanh-xuan
514,nhạc hay,24 February 2021,15,1,None,Thành Ngọc,https://soundcloud.com/th-nh-ng-c-941524249/sets/nh-c-hay
515,DD,18 April 2020,15,None,None,Dương Hưng,https://soundcloud.com/d-ng-h-ng-889599775/sets/dd
516,Như ý,10 November 2020,15,1,None,như ý nguyễn,https://soundcloud.com/nh-nguy-n-156027191/sets/nh
517,Track,27 September 2021,15,None,None,Hoàng Minh Tường Hoàng,https://soundcloud.com/ho-ng-minh-t-ng-ho-ng/sets/track
518,Nhạc Hay,3 December 2019,15,1,None,Nguyễn Tùng,https://soundcloud.com/nguy-n-t-ng-336331276/sets/nh-c-hay
519,V pop,22 September 2020,15,None,None,hải huỳnh,https://soundcloud.com/h-i-hu-nh-404909277/sets/v-pop
520,chill,12 May 2021,15,None,None,Thư ❤️,https://soundcloud.com/th-v-417726805/sets/chill
521,rap,25 May 2021,15,None,None,Lam,https://soundcloud.com/lam-gia-211498138/sets/rap
522,rap,8 July 2021,15,None,None,Đức Bean,https://soundcloud.com/c-bean-595630467/sets/rap
523,Ronnie Nguyen,25 August 2021,7,3,None,Ronnie TNguyen,https://soundcloud.com/th-o-nguy-n-90691949/sets/ronnie-nguyen
524,tmy😗,6 March 2019,15,2,None,tmy531,https://soundcloud.com/l-nguy-n-th-o-my-331017467/sets/tmy-1
525,lil' things,16 September 2021,15,1,None,truc.ngg,https://soundcloud.com/nguy-n-th-thanh-tr-c-680417440/sets/lil-things
526,lon xtop,21 March 2019,15,3,None,xxpnghni,https://soundcloud.com/user-235957736/sets/chill
527,Vietnamese,18 June 2021,15,1,None,Dng_thuy,https://soundcloud.com/thu-d-ng-468662090/sets/vietnamese
528,lofi,29 July 2020,15,2,None,dungbui,https://soundcloud.com/d-ng-b-i-588028715/sets/lofi
529,👅,29 June 2021,15,1,None,daisy✨,https://soundcloud.com/hye-peachh/sets/2ej2yhzeilkj
530,😴,27 July 2021,15,2,None,Ngọc Lam,https://soundcloud.com/ng-c-lam-256249678/sets/otztexpgjzkk
531,"""chìa khoá thấp""",24 August 2021,15,2,None,sad thủ đa tink`,https://soundcloud.com/thanh-nghiep-461601422/sets/ch-a-kho-th-p
532,playlist,3 August 2021,15,2,None,?,https://soundcloud.com/ho-ng-hi-p-ng-929905396/sets/tsjh7px33wac
533,damn,3 May 2021,15,1,None,Minh,https://soundcloud.com/minh-nguy-n-305826870/sets/damn
534,IDS,8 August 2019,15,6,2,daylasanecacbanoi,https://soundcloud.com/han-hy-897184904/sets/ids
535,AmNhac,28 April 2021,15,2,1,DucChungg,https://soundcloud.com/urvibes/sets/amnhac
536,🤍,25 August 2021,15,1,None,Ngọc Vy,https://soundcloud.com/ng-c-vy-272436498/sets/yjo7xjskjyyp
537,with me,27 August 2021,2,1,None,BINQANGBADTRIP,https://soundcloud.com/bin-quang-820342468/sets/with-me
538,dewruss,21 February 2020,15,1,None,roman D,https://soundcloud.com/roman-t-54118111/sets/dewruss
539,kem,14 May 2019,9,1,None,peasandpies,https://soundcloud.com/ho-ng-h-tu-anh/sets/kem
540,...,21 August 2021,15,1,None,Trịnh Việt Dương,https://soundcloud.com/tr-nh-vi-t-d-ng-58562745/sets/ye7odcxscowo
541,oanh,28 November 2018,15,1,None,dho_144,https://soundcloud.com/ng-oanh-624559628/sets/oanh
542,min,16 March 2021,15,3,None,huogthu,https://soundcloud.com/thu-h-ng-713113266/sets/min
543,162,17 February 2021,15,1,None,Nguyễn Thị Trà My,https://soundcloud.com/nguy-n-th-tr-my-296342888/sets/162-1
544,Vdhkzebj,5 August 2021,15,1,None,User 100874046,https://soundcloud.com/user-100874046/sets/vdhkzebj
545,À nhon :))),13 February 2021,15,1,None,noicesanxiety,https://soundcloud.com/nguy-n-ng-c-b-o-tr-n-592002892/sets/a-nhon
546,việt,18 August 2019,15,1,None,phuoggg,https://soundcloud.com/user-575996689/sets/vi-t
547,Nothin',21 August 2021,15,1,None,Khánh Linh,https://soundcloud.com/khanh-linh-911939751/sets/nothin
548,Luv,29 October 2020,15,1,None,Khánh Linh,https://soundcloud.com/khanh-linh-911939751/sets/wal30gwp4vnm
549,👻,25 August 2021,1,None,None,Ngọc,https://soundcloud.com/tr-n-ho-ng-thanh-ng-c/sets/gtjev5yj0tjc
550,dsbh,10 August 2019,15,1,None,bhhh,https://soundcloud.com/tr-n-h-nh-710108608/sets/dsbh
551,roi mjnh laji chiu,14 August 2021,15,3,None,MinhNgocjiji,https://soundcloud.com/tr-n-minh-ng-c-730911936/sets/roi-mjnh-laji-chiu
552,ughh,25 August 2021,3,1,None,PiAyEn,https://soundcloud.com/ann-nguyenn-488298237/sets/ughh
553,Nhạc hay vcl,27 June 2021,15,1,None,Minh Quân,https://soundcloud.com/quan-minh-275801261/sets/nh-c-hay-vcl
554,Viet,3 August 2018,15,2,None,Harry Nguyen,https://soundcloud.com/harry-nguyen-361183343/sets/viet
555,🫐🫐🫐,17 April 2021,15,3,1,vi,https://soundcloud.com/vi-t-ng-604135467/sets/n3qdlgujsnm0
556,iuu Ân wuas,8 August 2021,15,2,None,Thuy Tramm,https://soundcloud.com/thuy-tramm-253069744/sets/iuu-an-wuas
557,lofi,14 December 2020,15,1,None,Hoàng Huy,https://soundcloud.com/hoang-huy-868566477/sets/lofi
558,music,14 October 2019,3,2,None,nqh273,https://soundcloud.com/hdg2376/sets/music
559,Chill,20 June 2021,46,3,None,Nghĩa Đàm,https://soundcloud.com/ngh-a-m-830550024/sets/chill
560,1,10 January 2021,15,2,None,User 364427259,https://soundcloud.com/user-364427259/sets/1-1
561,tam trang,20 November 2020,15,1,None,Trúc AAnh,https://soundcloud.com/truc-aanh-542532914/sets/tam-trang
562,kakakaka,19 August 2021,15,1,None,erokat,https://soundcloud.com/thao-linh-98787714/sets/kakakaka
563,<3<3<3,24 May 2021,15,1,None,hthaonguyen,https://soundcloud.com/user-993376400/sets/chill-bru
564,hey hey hey,25 November 2018,15,1,None,Pham Thuy Nga,https://soundcloud.com/pham-thuy-nga-635708727/sets/hey-hey-hey
