,name,date_post,plays,likes,reposts,genre
260,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,591",26.2K,663,Piano
261,Anh sẽ để em đi - Kidz ( Prod. VoVanDuc ),5 February 2020,"1,222,045",13.4K,586,Hip-hop & Rap
262,Only You,11 May 2021,"5,700",137,3,Hip-hop & Rap
263,"Tất Cả (24th story) - WIZ ft OGG.Wack, Vân",29 November 2020,"26,341",417,26,Hip-hop & Rap
264,Em 20 - Winno ( REMIX ),14 February 2021,"56,735",305,12,Hip-hop & Rap
265,LUFFY/19 - Chiulinh ft. Robe (Available on Spotify),7 January 2020,"1,108,653",12.1K,401,None
266,"Level Up - Terry Ft. Ricky Star, Lil Wuyn, Robe ( Official Audio )",15 August 2019,"2,076,570",18.5K,630,Hip-hop & Rap
267,MUỐN ĐƯỢC CÙNG EM' - FREAKY x CM1X (ft. QUỲNH GAI),5 November 2020,"6,913,803",56.2K,"1,479",Indie
268,Sinh Ra Đã Là Thứ Đối Lập Nhau Freak D Lofi Ver Emcee L Da LAB ft Badbie,22 January 2021,"7,325,555",57.5K,"1,542",None
269,Tlinh - Thích Quá Rùi Nà ft. Trung Trần (prod by @rpt.phongkhin ),20 April 2020,"16,405,799",109K,"3,191",Pop
270,"LOOP - Coldzy (feat. TO$KA, Left Hand)",6 December 2019,"1,176,291",11.7K,461,Pop
271,'tim em ko kó một đường nào' - Winno (ft Heily),22 August 2020,"1,956,600",14K,None,None
272,Coldzy X Wxrdie If You Said So But You Are In The Empty Mall,20 September 2020,"436,617","3,715",99,Hip-hop & Rap
273,Em 20 - Winno,3 December 2020,"2,412,363",18.9K,None,None
274,$ativa_Ok NAH NAH(feat.BUFORD),23 October 2020,"777,472","7,805",213,Hip-hop & Rap
275,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,459",16.5K,364,Dance & EDM
276,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,248","2,325",59,None
277,The Reason To Love Me 12 : True Love,15 June 2021,"251,662",10.2K,277,Nhí Nhố
278,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,641",26.2K,663,Piano
279,Nhạc Chill Sang Xịn Mịn 2021 | HOT TIKTOK,15 June 2021,"125,779","2,633",91,None
280,ICEMAN - Sol7 ft MCK,4 March 2021,"1,724,127",16.3K,489,Hip-hop & Rap
281,Buông Hàng - Young Milo,3 December 2020,"359,894","3,498",107,None
282,"Quang Tèo, tên tao đơn giản là Mr. Quang Tèo.",26 February 2021,"93,086",932,32,None
283,"NIGHT - WAVY, XOLITXO, DA/MD, DUSTIN NGÔ",20 November 2020,"1,047,881",10.5K,280,Trap
284,WXRDIE QUAY XE ft. WOKEUPAT4AM,11 October 2020,"348,017","4,195",86,Hip Hop
285,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,462",16.5K,364,Dance & EDM
286,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,248","2,325",59,None
287,The Reason To Love Me 12 : True Love,15 June 2021,"251,662",10.2K,277,Nhí Nhố
288,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,673",26.2K,663,Piano
289,Nhạc Chill Sang Xịn Mịn 2021 | HOT TIKTOK,15 June 2021,"125,779","2,633",91,None
290,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,462",16.5K,364,Dance & EDM
291,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,249","2,325",59,None
292,The Reason To Love Me 12 : True Love,15 June 2021,"251,662",10.2K,277,Nhí Nhố
293,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,691",26.2K,663,Piano
294,LÀM GÌ CÓ AI CHIA TAY MÀ VUI Ngắn & Ngọc Dolil Đà Lạt Ep4,13 June 2021,"182,084","2,278",48,None
295,Fancy - Winno (prod.aloha),29 March 2020,"1,582,338",13.5K,None,None
296,THÍCH EM HƠI NHIỀU - WREN EVANS | Feliks Alvin Remix,22 June 2021,"488,065","4,351",111,Future Bass
297,Forget Me Now - Fishy ft. Trí Dũng「Cukak Remix」,17 June 2021,"980,245",10K,272,Cukak
298,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,701",26.2K,663,Piano
299,Đường Tôi Chở Em Về - Cukak Remix - Buitruonglinh,20 June 2021,"453,198","5,659",133,Pop
300,đừng.,6 April 2020,"476,891","5,570",309,None
301,night city ft. tobie,24 October 2020,"1,074,715",15.1K,614,my rocky
302,ecstacy (groovie lã thắng) remake demo - tlinh (prod. by yusei),15 January 2021,"411,183","5,275",245,None
303,têi têi hư hư,8 September 2020,"547,425","8,623",325,None
304,🌞,18 October 2017,"1,684,047",18.8K,"1,186",None
305,Mộng Mị with Băng Chợ Quán,17 June 2021,"21,904",204,13,Jazz & Blues
306,Chuyện Gì Đâu,18 June 2021,"1,455",45,12,Alternative Rock
307,THẾ GIỚI NÀY - FREAKY DI ft ICD,18 June 2021,"7,984",90,1,Hip-hop & Rap
308,"GERDNANG - CHÍNH TRỊ GIA | HURRYKNG, MANBO, HIEUTHUHAI - CTG - Official Audio (feat. MCK)",17 June 2021,"11,553",140,2,Hip-hop & Rap
309,please tell me bủh (prod. by Lonie),18 June 2021,"2,143",58,5,Hip-hop & Rap
310,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,249","2,325",59,None
311,ĐƠN CÔI FT SOULJU,19 April 2021,"216,333","2,972",86,Hip-hop & Rap
312,Chẳng Thể Biết Sol7 Ft Young Tulo,21 June 2021,"114,531","1,458",22,R&B
313,Có Nhiều Thứ Dễ Nói Ra Sol Goku x MvdBeez,17 January 2021,"3,020",67,1,Hip-hop & Rap
314,GROWN UP [Offical MV] - HUSTLANG ROBE (Prod. Twentyfo),13 September 2020,"248,350","2,535",48,None
315,(2 7 1 1) Mang em qua đây - PhuBinh x Lara,20 March 2020,"9,728,715",30.8K,671,Indie
316,Du Cho Mai Ve Sau (acoustic AUDIO),1 December 2020,"2,587,275",19.3K,551,R&B & Soul
317,"Cơn Mưa Qua (Young Uno, LK) - ACENS Cover",12 July 2018,"5,482,888",23K,720,"Chill, Lo-Fi"
318,Rapitalove EP | ĐÊM TRONG VEO - RPT Groovie x RPT Gonzo (Prod. Fat_benn),8 March 2021,"220,228","3,087",97,Hip-hop & Rap
319,Thôi hẹn em Madihu,7 November 2020,"176,175","2,169",65,None
320,cớ sao em buồn ~ nguyễn trọng tài / luxofons lo-fi mix,4 September 2021,"18,260",201,4,Hip-hop & Rap
321,SOOBIN - THÁNG NĂM (SPECIAL VERSION) FT. SLIM V,16 May 2021,"7,998,132",67.1K,"2,493",The Playah
322,Cơn mơ băng giá(Acoustic Version) - Bằng Kiều ft Lê Thành Trung ft Tùng Acoustic,18 March 2019,"377,701","3,143",104,Pop
323,Mùi Hương Em Nồng Say Một Chút Martini... | Hương (Lofi Ver.) - Văn Mai Hương x Besu | Lyrics TikTok,16 September 2021,"17,585",251,9,None
324,WREN EVANS - Thích Em Hơi Nhiều (Larria Dub),18 July 2021,"5,675",164,19,Dub
325,Tầng High - Paypil x HaSiha,12 March 2020,"1,799",36,None,Hip-hop & Rap
326,[DCOD] NGTANOISE (Người ta nói - remake) | VSOUL x MFREE x TUYEN VO|,16 July 2019,"5,044,780",44.1K,"1,291",None
327,Ngan Ngui ft. Kel C,5 October 2015,"792,784","6,959",579,ldleking
328,[20MC] NOU9Z - $AD BOY Á CHÂU FT. PACE (Prod. By Haruhi),14 February 2017,"89,462",836,63,Hip-hop & Rap
329,Lil Wuyn x 16 Typh - Self Love,21 March 2020,"516,116","5,489",189,Trap
330,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,469",16.5K,364,Dance & EDM
331,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,250","2,325",59,None
332,The Reason To Love Me 12 : True Love,15 June 2021,"251,664",10.2K,277,Nhí Nhố
333,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,820",26.2K,663,Piano
334,LÀM GÌ CÓ AI CHIA TAY MÀ VUI Ngắn & Ngọc Dolil Đà Lạt Ep4,13 June 2021,"182,085","2,278",48,None
335,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,824",26.2K,663,Piano
336,Fancy - Winno (prod.aloha),29 March 2020,"1,582,342",13.5K,None,None
337,Em 20 - Winno,3 December 2020,"2,412,377",18.9K,None,None
338,Hai Tám Bốn - Winno,3 May 2018,"1,545,375",10K,452,Hip-hop & Rap
339,Obito Ft. Hnhngan Live YOUR SMILE - Emma X Seachains X Obito,11 April 2021,"5,944,796",53K,"1,501",None
340,Say em - Gấu Béo ft TeoSoN,31 March 2018,"106,988",609,52,Trap
341,"OVERNITE (#ON) | Lyhan, Freaky, CM1X | Official Audio",30 April 2019,"611,948","4,327",168,Hip-hop & Rap
342,Đà Lạt Anh Và Em - Còiiii,18 May 2019,"12,648",115,9,None
343,"""Hey Boo"" Anh Yêu Chị | Toddy |",28 June 2019,"324,390","2,486",97,None
344,EVERYDAYxEVERYNIGHT | $GWang,6 October 2019,"280,310","1,973",60,Hip-hop & Rap
345,Mađam Tuyền Híp Hốp (almost lofi),7 July 2018,"211,219","4,332",388,V-BoomBap
346,Yêu Người Như Anh - BRAY ft ĐẠT G x MASEW,6 May 2019,"472,295","3,011",132,R&B & Soul
347,Lyrics - Đố Em Biết Anh Đang Nghĩ Gì - Đen X Justa Tee Ft. Biên,10 February 2019,"1,279,530","6,583",212,None
348,25 - Táo MASEW MIX,9 February 2018,"1,067,890","6,605",240,Dance & EDM
349,FOREVER LOVE - VIETUNDERGROUND (HIT TRACK 2015),30 November 2015,"409,358","1,584",43,Hip-hop & Rap
350,딘 (DEAN) - instagram (인스타그램),3 January 2018,"5,836,960",86.5K,"2,948",None
351,딘 (DEAN) - D (half Moon) acoustic,15 August 2016,"1,116,131",17.7K,362,kpop
352,HYUKOH (혁오) - WI ING WI ING (위잉위잉),25 June 2019,"617,140",11.8K,167,World
353,CHEEZE (치즈) - LOSER,16 April 2021,"58,279",700,9,None
354,Cứ Chill Thôi - Chillies ftSuni Hạ Linh & Rhymastic version lofi.....,16 July 2020,"1,606,188",20.6K,727,Lofi
355,Mộng Mị with Băng Chợ Quán,17 June 2021,"21,904",204,13,Jazz & Blues
356,"GERDNANG - CHÍNH TRỊ GIA | HURRYKNG, MANBO, HIEUTHUHAI - CTG - Official Audio (feat. MCK)",17 June 2021,"11,553",140,2,Hip-hop & Rap
357,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,876",26.2K,663,Piano
358,TỐI RỒI NGỦ THÔI EM - LUU HUONG THAO ft. TRGAXH (prod. by QUANNHAT5AM),18 June 2021,"34,419",534,15,R&B
359,"""Dongchenbat"".flp",18 June 2021,"42,891",475,25,None
360,Bên em là ICE - Sevenlit,11 April 2021,"19,706",599,34,Hip-hop & Rap
361,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,886",26.2K,663,Piano
362,'tim em ko kó một đường nào' - Winno (ft Heily),22 August 2020,"1,956,614",14K,None,None
363,Young Bo5 + Littgurl - *Sheis * ( Ft. LVK & Ritdee),31 August 2020,"228,052","2,990",191,MASTER502
364,"SHEIS RMX - YOUNG BO5 FT. ALICE, ROKI, NALO",24 December 2020,"45,129",684,30,Trap
365,Sống cho hết đời thanh xuân 2,13 December 2019,"1,624,878",12.6K,545,None
366,Lil Wuyn X MeloDip X SMO - Radar,20 July 2016,"765,104","5,845",560,Hip-hop & Rap
367,Phiêu Bồng - Tofu,22 July 2019,"2,094,418",17.4K,624,World
368,"Sống Cho Hết Đời Thanh Xuân - Hiếu , Tuyết , Xám",11 October 2018,"3,508,399",31.3K,"1,629",None
369,Liệu Giờ - 2T x Văn x Prod. KayTee,17 April 2019,"15,041,624",96.6K,"4,022",R&B & Soul
370,"mayweather (rework by Dustin Ngo) - prettyXIX, Kim Nguyen, NVB",20 November 2020,"33,750",350,16,Hip-hop & Rap
371,Khi bên em ( Emocean) - feat. 16BeanCD,20 October 2019,"218,363","1,813",64,Hip-hop & Rap
372,#emvatuoi18 - bf_huNG,6 February 2021,"48,760",490,13,None
373,"MOT DEM CUOI-""1mor9ss2"" JayKay",10 March 2021,"40,923",512,24,Hip-hop & Rap
374,something cute for u,13 February 2021,"66,381",764,20,Hip Hop
375,With Chu - Word ft. HD,5 July 2018,"226,608","2,465",159,Trap
376,Marlboro 🚬,25 April 2020,"265,160","3,172",97,Hip-hop & Rap
377,N O L O V E - Ken$hin x 7₩¥ x Sickie [ Prod. THAIBEATS ],7 April 2019,"87,081",897,41,Hip-hop & Rap
378,NAY EM OI - DROPPY - NÀY EM ƠI ( LOCOBOIZ ) MP3,7 April 2019,"354,228","2,717",103,None
379,HỐT ANH ĐI EM - AUGUST X DEMPTY ( PROD. BY ANNGO ),1 April 2019,"39,697",514,24,Hiphop/R&b
380,insutaguramu,16 April 2021,"40,816",676,48,Indie
381,Young Val - MILLIONAIRES (ft. Lomax In Da Cut & $GK Gang ),15 January 2021,"44,033",466,33,Hip-hop & Rap
382,"Level KiD - ""Roi minh lai yeu""",15 February 2021,"37,243",588,23,Hip-hop & Rap
383,S a d D a y - Kaka$hi,29 October 2016,"201,344","2,321",198,Hip-hop & Rap
384,Young Val & Lomax in Da Cut - FUEGO (ft. Trill VV$),23 October 2020,"137,554","1,492",61,Hip-hop & Rap
385,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,971",26.2K,663,Piano
386,Em 20 - Winno,3 December 2020,"2,412,388",18.9K,None,None
387,'tim em ko kó một đường nào' - Winno (ft Heily),22 August 2020,"1,956,618",14K,None,None
388,"Nghìn lẽ, một đêm - Winno (prodEast)",3 June 2019,"124,771","1,651",None,None
389,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,979",26.2K,663,Piano
390,please tell me bủh (prod. by Lonie),18 June 2021,"2,143",58,5,Hip-hop & Rap
391,Hy vong chung ta con lai gi? - Dr.Đắng x Ket (Prod. BigBadBeats),18 June 2021,"10,877",159,9,R&B & Soul
392,APL LUXXY - Sweet Dream (Prod. LCalvin),18 June 2021,"3,151",53,3,Hip-hop & Rap
393,Xích Thêm Chút - RPT Groovie ft TLinh x RPT MCK,18 April 2021,"2,780,082",27.9K,595,None
394,Obito Ft. Hnhngan Live YOUR SMILE - Emma X Seachains X Obito,11 April 2021,"5,944,842",53K,"1,501",None
395,Tlinh - Thích Quá Rùi Nà ft. Trung Trần (prod by @rpt.phongkhin ),20 April 2020,"16,405,931",109K,"3,191",Pop
396,MUỐN ĐƯỢC CÙNG EM' - FREAKY x CM1X (ft. QUỲNH GAI),5 November 2020,"6,913,868",56.2K,"1,479",Indie
397,Dù Cho Mai Về Sau (Lofi Ver) - buitruonglinh x Fre,21 March 2021,"1,991,528",15.5K,388,None
398,"""matchanah"" - híu x bâu",14 March 2021,"3,183,968",34.3K,811,Indie
399,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,010",26.2K,663,Piano
400,Mai này ta - Hieuthuhai verse rap,10 January 2021,"19,767",108,5,None
401,Overdose - Ricky Star x V$oul x Sol7 x Lăng LD x Yuno,26 July 2019,"61,891",760,37,Hip-hop & Rap
402,"Tinh Hoa Cypher - Lake, Thành Draw, Krazinoyze, Robe (reup)",21 November 2020,"97,210",973,21,Hip-hop & Rap
403,anh cung da qua sai lam (snippet),29 December 2020,"155,032","2,145",85,Hip-hop & Rap
404,CO$TCO (Prod. Thundaa)- $GK GANG,30 September 2020,"93,302",909,20,Hip-hop & Rap
405,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,483",16.5K,364,Dance & EDM
406,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,041",26.2K,663,Piano
407,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,252","2,325",59,None
408,The Reason To Love Me 12 : True Love,15 June 2021,"251,668",10.2K,277,Nhí Nhố
409,"gap nhau, ben nhau, la y troi",19 June 2021,"692,013","4,737",203,Indie
410,Để bầu trời nhìn hai ta (prod. by Yusei),25 February 2019,"357,878","3,431",118,Hip-hop & Rap
411,HIEUTHUHAI - SINH NHẬT (prod. by Wonderlust),8 February 2020,"1,203,006",11.3K,330,Hip-hop & Rap
412,PAR SG - instagram ft. Vũ Thanh Vân (Prod. by east),12 February 2020,"1,667,756",15.7K,455,None
413,PAR SG - cigarette ft. Cigar,8 March 2019,"1,387,118",14.6K,452,None
414,PAR SG x B - i just wanna kiss u,16 November 2018,"659,376","6,544",324,None
415,Anh sẽ để em đi - Kidz ( Prod. VoVanDuc ),5 February 2020,"1,222,063",13.4K,586,Hip-hop & Rap
416,Only You,11 May 2021,"5,700",137,3,Hip-hop & Rap
417,phanlong ft. Matty - ĐẲNG (prod. by Lezter),11 May 2021,"8,418",48,5,Hip-hop & Rap
418,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,075",26.2K,663,Piano
419,'tim em ko kó một đường nào' - Winno (ft Heily),22 August 2020,"1,956,626",14K,None,None
420,WHAT'LL YOU SAY? | Custhekid ft. Chillingo | Prod: Eem Triplin,21 July 2020,"3,375,123",15K,251,Hip-hop & Rap
421,Thờ er (remix) - 16 BrT ft MCK Prod by Snowz,8 October 2020,"1,297,839",10.1K,260,None
422,No L/Chẳng giống giáng sinh (remake) - MCK prod. datfitzx,24 December 2020,"2,150,570",13.3K,487,R&B & Soul
423,Đia than on the train to heaven,30 November 2019,"20,417",329,10,Country
424,Em 20 - Winno,3 December 2020,"2,412,403",18.9K,None,None
425,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,096",26.2K,663,Piano
426,Thang Hang Xom -(QuietxNki)-,4 April 2015,"1,122,215","6,330",686,Hustle
427,ICY - CÁNH CHIM CUỐI TRỜI,5 June 2018,"173,874","1,733",108,Hip-hop & Rap
428,luot qua mat nuoc nhu la sao bang - Amigo,12 December 2017,"1,116,173","9,779",652,None
429,Mask Off rmx - P$mall x Sol x Kaka$hi x Yuno,8 June 2017,"609,998","5,416",473,rmx
430,AIRPLANE MODE - HN x Ken$hin x 7₩¥ [ Prod. KaiserBeatz ],7 May 2019,"82,419",801,33,Hip-hop & Rap
431,Friend Of Me (Instrumental) - Fiskayet.mp3,30 April 2021,"11,789",97,6,None
432,Cheating on You,2 October 2019,"3,863,321",63.5K,"1,361",Pop
433,alec benjamin - the way you felt (slowed down),3 May 2021,"62,049","1,276",24,None
434,Ali Gatie - I cant let you go,27 November 2020,"105,111","2,602",33,Pop
435,"Will.i.am - Feelin' Myself ft. Miley Cyrus, French Montana & Wiz Khalifa (Deen Creed Remix)",10 December 2013,"8,513,926",92.5K,14.7K,Trap
436,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,487",16.5K,364,Dance & EDM
437,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,128",26.2K,663,Piano
438,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,253","2,325",59,None
439,The Reason To Love Me 12 : True Love,15 June 2021,"251,670",10.2K,277,Nhí Nhố
440,Nhạc Chill Sang Xịn Mịn 2021 | HOT TIKTOK,15 June 2021,"125,780","2,633",91,None
441,(Original.) Anh thương em nhất mà? - Lã. ft. Log ft. TiB,29 December 2018,"9,094,004",77.5K,"3,746",None
442,1 Phút - Andiez,26 August 2017,"13,542,981",80.8K,"4,225",None
443,THANH XUÂN LÀ ANH - N.Dien X 2T f.t Shenlongz,6 January 2019,"10,416,317",67.3K,"2,762",TXLA
444,chloe - ngay mai em di roi (ft. minh châu),27 December 2019,"217,145","1,401",37,chill
445,Đi Qua Mùa Hạ - Thai Dinh,14 July 2019,"5,396,897",40.5K,"1,231",Indie
446,[DCOD] NGTANOISE (Người ta nói - remake) | VSOUL x MFREE x TUYEN VO|,16 July 2019,"5,044,929",44.1K,"1,291",None
447,ĐẾN RỒI LẠI ĐI,11 August 2019,"1,061,236","9,341",356,R&B & Soul
448,NAY EM OI - DROPPY - NÀY EM ƠI ( LOCOBOIZ ) MP3,7 April 2019,"354,228","2,717",103,None
449,SEXNORITA - DROPPY X CHỊ CẢ X QUÂN,18 July 2020,"177,541","1,275",29,Hip-hop & Rap
450,100 Ngày Hạ,3 June 2013,"1,648,839",18.3K,"1,732",Rap
451,Roses Are Red ft xoLIT & willistic (prod by Lucid Vision),15 September 2017,"331,385","3,749",283,Trap
452,419 - wAvy ft. xolitxo,12 December 2017,"543,614","7,527",320,vntrap
453,COLDNIGHT - RITDEE,5 August 2018,"148,631","1,649",91,Hip-hop & Rap
454,My Everything (GONE) ChiuLinh x Par SG,8 March 2019,"307,446","3,596",156,Classical
455,BNTLY(ft. @kimnguyen),30 April 2018,"150,830","1,907",160,R&B & Soul
456,Baby Gho$t- Slide,24 December 2020,"251,736","2,067",45,Hip-hop & Rap
457,Take Off,18 September 2020,"766,955","4,857",101,Hip-hop & Rap
458,Off Poppin Gone,25 December 2020,"827,992","6,863",140,Hip-hop & Rap
459,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,181",26.2K,663,Piano
460,(unreleased) Vận Tốc Ánh Sáng feat ROBE -leak- (prod.Chiulinh).mp3,17 January 2021,"354,605","3,946",106,None
461,Sony Tran - Attention ft. Zuy & VSoul [OFFICLA AUDIO],7 February 2021,"403,832","4,158",133,hiphop rnb
462,Chán Gái 707 | Low G |,19 January 2021,"1,279,083",17.6K,373,None
463,Hãy Giúp Migos Tìm Lại Nhà (ft. Migos và những người bạn),27 June 2019,"64,259","1,309",85,Hip-hop & Rap
464,"NIGHT - WAVY, XOLITXO, DA/MD, DUSTIN NGÔ",20 November 2020,"1,047,898",10.5K,280,Trap
465,HU$TLANG ROBBER - ROBE DISSIN,19 April 2021,"68,913","1,203",36,Hip-hop & Rap
466,SAY NO - YUNO BIGBOI ft ROBE (UNOFFICIAL),20 January 2021,"674,244","6,192",125,None
467,(unreleased) Vận Tốc Ánh Sáng feat ROBE -leak- (prod.Chiulinh).mp3,17 January 2021,"354,605","3,946",106,None
468,đơn côi - ROBE /SUPOSED TO (Prod by soju ) ( HQ ),14 November 2019,"185,106","2,298",83,Hip-hop & Rap
469,LUFFY/19 - Chiulinh ft. Robe (Available on Spotify),7 January 2020,"1,108,669",12.1K,401,None
470,Người Chơi Hệ Đẹp - 16 Typh (Cukak Remix) [Official],17 June 2021,"1,463,491",16.5K,364,Dance & EDM
471,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,210",26.2K,663,Piano
472,[HiddenGem Mixtape] ep.7 - J Cole Nói - B Ray,15 June 2021,"216,253","2,325",59,None
473,The Reason To Love Me 12 : True Love,15 June 2021,"251,673",10.2K,277,Nhí Nhố
474,"gap nhau, ben nhau, la y troi",19 June 2021,"692,021","4,738",203,Indie
475,MAMA BOY - HIEUTHUHAI,4 October 2020,"822,524","4,385",84,None
476,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,229",26.2K,663,Piano
477,HIEUTHUHAI - Bật Nhạc Lên ft. Harmonie (prod. by NEMYA),1 June 2020,"5,060,441",54.5K,"1,786",Hip-hop & Rap
478,【WAVE ALPHA】× Cam,11 December 2018,"612,638","7,412",471,Rock
479,YÊU,13 September 2020,"455,506","6,795",292,Pop
480,Du Anh Muon,25 May 2017,"1,592,667",17.3K,"2,716",FUTURETRAPSOUL
481,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,240",26.2K,663,Piano
482,EM À - XÁM X NGỌC DOLIL,27 April 2021,"128,663","1,360",57,Hip-hop & Rap
483,ÁNH CHIỀU - DICK Ft XÁM [ OFFICIAL AUDIO ],23 May 2019,"513,868","3,806",113,None
484,Anh Biết - Xám x D.Blue,2 September 2019,"4,446,287",38.6K,"1,374",Hip-hop & Rap
485,SUY - nger,16 September 2020,"877,662","8,259",190,None
486,tình đắng như ly cà phê - nân. và Ngơ,1 April 2018,"8,975,195",97.7K,"5,038",R&B & Soul
487,Honey -AnhVu (Prod By Goku Beats),3 June 2021,"1,749,349",15K,249,None
488,Berlin,31 January 2020,"11,363,851",88.9K,"2,437",Pop
489,Obito Ft. Hnhngan Live YOUR SMILE - Emma X Seachains X Obito,11 April 2021,"5,944,945",53K,"1,501",None
490,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,258",26.2K,663,Piano
491,THÍCH EM HƠI NHIỀU - WREN EVANS | Feliks Alvin Remix,22 June 2021,"488,074","4,351",111,Future Bass
492,Rapitalove EP | SUGAR - RPT JasonDilla x RPT Orijinn (prod. Leonn & RPT LT),11 March 2021,"202,311","2,828",81,Hip-hop & Rap
493,Rapitalove EP | ĐÊM TRONG VEO - RPT Groovie x RPT Gonzo (Prod. Fat_benn),8 March 2021,"220,231","3,087",97,Hip-hop & Rap
494,Rapitalove EP | XTC - RPT Groovie x RPT Orijinn x RPT JasonDilla (Prod. by Derkalavier),8 March 2021,"619,007","7,529",262,Hip-hop & Rap
495,Rapitalove EP | U ME - RPT TC x RPT Duke (prod. by RPT Phongkhin),8 March 2021,"672,179","8,841",209,Hip-hop & Rap
496,Lux - Koo ft. Nguyên. (Prod. MinhNhat),15 February 2020,"2,371,430",19.3K,568,Hip-hop & Rap
497,Đen x JustaTee - Đi Về Nhà,20 December 2020,"8,721,752",75.1K,"3,926",Hip-hop & Rap
498,Nàng Thơ - Hoàng Dũng,10 August 2020,"12,467,000",96.8K,"3,848",None
499,Cưới Đi - 2T x ChangC ( Prod. So Hi x Flowz ),28 August 2020,"7,445,672",49.6K,"1,491",R&B & Soul
500,MUỐN ĐƯỢC CÙNG EM' - FREAKY x CM1X (ft. QUỲNH GAI),5 November 2020,"6,913,926",56.2K,"1,479",Indie
501,Missing You - PHUONG LY x TINLE (Original),9 September 2020,"12,010,843",55.2K,"1,173",Pop
502,AT MY WORST,14 January 2021,"1,134,913",20.4K,322,Pop
503,Rapitalove EP| Tay To - RPT MCK x RPT PhongKhin (Prod. by RPT PhongKhin),6 April 2021,"7,680,479",71.5K,"2,527",R&B & Soul
504,play date.,23 July 2016,"2,618,139",43.9K,797,None
505,Astronaut In The Ocean,12 January 2021,"13,305,511",380K,"5,161",None
506,Tháng tư là lời nói dối của em - Hà Anh Tuấn,14 September 2016,"3,736,746",42K,"2,120",Pop
507,Conversation[Moment] - PAR FLEX ft U$AGI,15 March 2018,"341,656","3,373",217,Hip-hop & Rap
508,Du Anh Muon,25 May 2017,"1,592,667",17.3K,"2,716",FUTURETRAPSOUL
509,smile,9 September 2018,"731,544","9,759",471,Vietnamese Flow
510,Hello,24 February 2018,"27,332",459,49,None
511,XESI x HOAPROX - VÔ TÌNH,22 September 2018,"2,470,854",25.6K,"1,228",votinh #xesi #hoaprox
512,Andree Right Hand - Nhac Anh ft Wxrdie(BoongBoi RMX),15 January 2021,"1,380,905","4,393",65,Hip-hop & Rap
513,'Yêu Sắc Yếu' (CM1X & DAERON REMIX) | OSAD,7 May 2021,"681,749","4,293",84,Dance & EDM
514,Thủ Đô Cypher rmx - RPT MCK $ RPT Orijinn $ lf.low.g $ RZ Mas,9 January 2021,"1,968,683","9,937",276,Hip-hop & Rap
515,"Kewtiie, Gill - SANG XỊN MỊN",3 May 2021,"849,123","7,625",189,Hip-hop & Rap
516,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,757,339",26.2K,663,Piano
517,Đội Kèn Tí Hon Remix 2019 - Prod By TiLo Ft Long Nhật Ft Chivas Nhí,8 April 2019,"387,458","4,964",335,Dance & EDM
