,name,date_post,plays,likes,reposts,genre
60,Cát Chi Freestyle ft HUSTLANG Heily,19 April 2021,"49,694",727,28,Hip-hop & Rap
61,HUSTLANG Robber - Remember,19 April 2021,"34,741",624,26,Hip-hop & Rap
62,Em 20 - Winno,3 December 2020,"2,412,309",18.9K,None,None
63,No Idea,30 May 2019,"48,594,182",690K,12.1K,R&B & Soul
64,ĐƠN CÔI FT SOULJU,19 April 2021,"216,319","2,972",86,Hip-hop & Rap
65,Goosebumps - Travis Scott,2 November 2017,"24,144,156",340K,"5,256",None
66,💖 Roderick Porter - Baby (feat. Coasting)💖,17 November 2019,"600,688","9,891",339,Indie
67,Travis Scott - Highest In The Room - slowed + Reverb,6 October 2019,"2,692,614",50.4K,571,Hip-hop & Rap
68,Mariposa (Acoustic),18 July 2020,"357,432","7,684",119,Pop
69,Berlin,31 January 2020,"11,363,647",88.9K,"2,437",Pop
70,1nG x Killic – Như Chẳng Thể Quên Đi Khi Lỡ Yêu Rồi,6 January 2020,"858,970","8,359",256,NCTQDKLYR
71,có đúng không em,18 May 2019,"299,482","4,140",262,Indie
72,Tự Tình - Quang Huy (Minh Triều st.),7 July 2019,"1,456,798",14.6K,480,Indie
73,HS ROBE - FORREST GUMP (UNOFFICIAL),14 September 2020,"739,247","8,040",293,Hip-hop & Rap
74,FORREST GUMP - HUSTLANG RECORD (unofficial version),3 October 2020,"163,887","1,762",57,Entertainment
75,Tommy Tèo - yongboi si tình muốn 1 mình thêm 1 đêm nữa thôi,14 February 2021,"934,525","8,472",443,None
76,"LOOP - Coldzy (feat. TO$KA, Left Hand)",6 December 2019,"1,176,269",11.7K,461,Pop
77,Tàn Bay - Venos x Yellowa ft. TapoNguyen (Prod by Lug Soda),8 March 2019,"200,210","1,705",76,Hip-hop & Rap
78,PSYCHO - YellowA ft. Maos (Cassette Đỏ) Prod by YellowA,20 August 2019,"28,772",404,12,Hip-hop & Rap
79,Bring About Emotion (B.A.E)-Groza_Sikdy,10 July 2019,"3,450",57,1,R&B & Soul
80,[DCOD] NGTANOISE (Người ta nói - remake) | VSOUL x MFREE x TUYEN VO|,16 July 2019,"5,044,495",44.1K,"1,291",None
81,MCK - Stupid Rich Man | THE BOX SHOW,30 August 2020,"1,715,169",13.3K,311,None
82,LAVIAI (REMIX) ft. HIEUTHUHAI & 2PILLZ,24 March 2020,"1,560,240",16.4K,698,Alternative Rock
83,Can You Hear Me ? - PJPO x SOL,10 November 2018,"296,012","2,196",71,None
84,Làm Ngay Hôm Nay (#LNHN) - RPT Orijinn x RPT Duke x RPT MCK,20 August 2020,"3,172,063",17.9K,564,Hip-hop & Rap
85,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,097",26.2K,663,Piano
86,LÀM GÌ CÓ AI CHIA TAY MÀ VUI Ngắn & Ngọc Dolil Đà Lạt Ep4,13 June 2021,"182,081","2,278",48,None
87,IKIGUYZ ~ ROBE HUSTLANG,12 June 2021,"110,405","1,618",41,None
88,FORREST GUMP - HUSTLANG RECORD (unofficial version),3 October 2020,"163,887","1,762",57,Entertainment
89,Thanh Draw - Why So Dep RAPVIET (TRUNG HIEU Edit),16 October 2020,"61,984",656,113,House
90,têi têi hư hư,8 September 2020,"547,418","8,623",325,None
91,chịu đấy chả biết nói gì.,16 November 2020,"192,851","3,475",121,Trap
92,With Chu - Word ft. HD,5 July 2018,"226,603","2,465",159,Trap
93,ecstacy (groovie lã thắng) remake demo - tlinh (prod. by yusei),15 January 2021,"411,179","5,275",245,None
94,🌞,18 October 2017,"1,684,037",18.8K,"1,186",None
95,Vương (offical),26 May 2018,"1,648,309",18.4K,996,Indie
